temp,pH,DO,date,time
26.437,7.0,97,2013-07-09,12:20:55.603122
26.437,7.0,97,2013-07-09,12:25:03.873401
26.437,7.0,97,2013-07-09,12:30:03.143066
26.437,7.0,97,2013-07-09,12:35:03.403114
26.437,7.0,97,2013-07-09,12:40:55.612902
26.437,7.0,97,2013-07-09,12:45:03.863908
26.437,7.0,97,2013-07-09,12:50:03.113159
26.437,7.0,97,2013-07-09,12:55:03.343164
26.437,7.0,97,2013-07-09,13:00:55.572854
26.5,7.0,97,2013-07-09,13:05:03.813007
26.437,7.0,97,2013-07-09,13:10:04.092097
26.437,7.0,97,2013-07-09,13:15:03.342533
26.5,7.0,97,2013-07-09,13:20:56.012429
26.5,7.0,97,2013-07-09,13:25:03.272735
26.5,7.0,97,2013-07-09,13:30:03.522367
26.5,7.0,97,2013-07-09,13:35:03.772620
26.5,7.0,97,2013-07-09,13:40:56.092470
26.5,7.0,97,2013-07-09,13:45:03.332317
26.5,7.0,97,2013-07-09,13:50:03.572416
26.5,7.0,97,2013-07-09,13:55:03.822427
26.5,7.0,97,2013-07-09,14:00:56.081956
26.5,7.0,97,2013-07-09,14:05:03.342141
26.5,7.0,97,2013-07-09,14:10:04.602896
26.5,7.0,97,2013-07-09,14:15:05.055741
26.5,7.0,97,2013-07-09,14:20:56.251958
26.562,7.0,97,2013-07-09,14:25:05.029105
26.562,7.0,97,2013-07-09,14:30:03.482334
26.562,7.0,97,2013-07-09,14:35:03.722235
26.562,7.0,97,2013-07-09,14:40:56.265708
26.562,7.0,97,2013-07-09,14:45:03.512087
26.562,7.0,97,2013-07-09,14:50:03.772524
26.562,7.0,97,2013-07-09,14:55:04.072909
26.562,7.0,97,2013-07-09,15:00:55.302462
26.562,7.0,97,2013-07-09,15:05:03.582816
26.562,7.0,97,2013-07-09,15:10:03.889795
26.562,7.0,97,2013-07-09,15:15:03.162880
26.562,7.0,97,2013-07-09,15:20:55.773021
26.625,7.0,97,2013-07-09,15:25:05.385233
26.625,7.0,97,2013-07-09,15:30:03.863073
26.562,7.0,97,2013-07-09,15:35:04.423188
26.625,7.0,97,2013-07-09,15:40:55.860110
26.562,7.0,97,2013-07-09,15:45:03.163519
26.625,7.0,97,2013-07-09,15:50:03.513546
26.625,7.0,97,2013-07-09,15:55:03.913802
26.625,7.0,97,2013-07-09,16:00:55.353646
26.625,7.0,97,2013-07-09,16:05:03.643902
26.625,7.0,97,2013-07-09,16:10:03.955040
26.625,7.0,97,2013-07-09,16:15:03.305979
26.625,7.0,97,2013-07-09,16:20:55.933123
26.625,7.0,97,2013-07-09,16:25:03.244892
26.625,7.0,97,2013-07-09,16:30:03.554884
26.625,7.0,97,2013-07-09,16:35:03.846395
26.625,7.0,97,2013-07-09,16:40:55.495190
26.625,7.0,97,2013-07-09,16:45:03.915569
26.625,7.0,97,2013-07-09,16:50:03.235822
26.625,7.0,97,2013-07-09,16:55:03.628008
26.625,7.0,97,2013-07-09,17:00:55.939725
26.687,7.0,97,2013-07-09,17:05:03.359993
26.687,7.0,97,2013-07-09,17:10:03.740215
26.625,7.0,97,2013-07-09,17:15:04.190295
26.625,7.0,97,2013-07-09,17:20:55.505665
26.625,7.0,97,2013-07-09,17:25:03.780553
26.625,7.0,97,2013-07-09,17:30:04.180259
26.625,7.0,97,2013-07-09,17:35:03.519730
26.625,7.0,97,2013-07-09,17:40:55.800481
26.625,7.0,97,2013-07-09,17:45:04.190961
26.625,7.0,97,2013-07-09,17:50:03.490919
26.687,7.0,97,2013-07-09,17:55:03.825738
26.687,7.0,97,2013-07-09,18:00:56.115729
26.625,7.0,97,2013-07-09,18:05:03.507420
26.625,7.0,97,2013-07-09,18:10:03.873054
26.625,7.0,97,2013-07-09,18:15:03.221385
26.687,7.0,97,2013-07-09,18:20:55.641141
26.625,7.0,97,2013-07-09,18:25:03.991598
26.687,7.0,97,2013-07-09,18:30:03.381894
26.625,7.0,97,2013-07-09,18:35:03.772187
26.687,7.0,97,2013-07-09,18:40:56.011110
26.687,7.0,97,2013-07-09,18:45:03.311522
26.687,7.0,97,2013-07-09,18:50:03.721657
26.687,7.0,97,2013-07-09,18:55:04.011826
26.625,7.0,97,2013-07-09,19:00:55.272147
26.687,7.0,97,2013-07-09,19:05:03.602337
26.687,7.0,97,2013-07-09,19:10:03.932437
26.687,7.0,97,2013-07-09,19:15:03.312636
26.687,7.0,97,2013-07-09,19:20:55.872679
26.687,7.0,97,2013-07-09,19:25:03.173038
26.625,7.0,97,2013-07-09,19:30:03.482872
26.625,7.0,97,2013-07-09,19:35:03.902990
26.625,7.0,97,2013-07-09,19:40:55.172950
26.687,7.0,97,2013-07-09,19:45:03.503238
26.687,7.0,97,2013-07-09,19:50:03.833242
26.687,7.0,97,2013-07-09,19:55:04.161829
26.687,7.0,97,2013-07-09,20:00:55.642179
26.625,7.0,97,2013-07-09,20:05:04.002799
26.625,7.0,97,2013-07-09,20:10:03.333262
26.687,7.0,97,2013-07-09,20:15:03.704492
26.687,7.0,97,2013-07-09,20:20:55.445699
26.687,7.0,97,2013-07-09,20:25:03.786235
26.687,7.0,97,2013-07-09,20:30:04.116768
26.625,7.0,97,2013-07-09,20:35:03.539119
26.687,7.0,97,2013-07-09,20:40:55.869325
26.687,7.0,97,2013-07-09,20:45:03.210843
26.687,7.0,97,2013-07-09,20:50:03.569905
26.625,7.0,97,2013-07-09,20:55:04.000547
26.625,7.0,97,2013-07-09,21:00:55.420049
26.687,7.0,97,2013-07-09,21:05:03.757910
26.687,7.0,97,2013-07-09,21:10:04.098926
26.687,7.0,97,2013-07-09,21:15:03.517814
26.625,7.0,97,2013-07-09,21:20:56.018566
26.687,7.0,97,2013-07-09,21:25:03.359317
26.625,7.0,97,2013-07-09,21:30:03.679280
26.625,7.0,97,2013-07-09,21:35:04.089051
